ENSEMBL_RNOR,Symbol
ENSRNOG00000045569,AABR07036087.2
ENSRNOG00000029974,AABR07036101.1
ENSRNOG00000061622,AABR07036101.2
ENSRNOG00000036337,AABR07036526.1
ENSRNOG00000020112,AABR07036567.1
ENSRNOG00000058068,AABR07036567.2
ENSRNOG00000030819,AABR07036974.1
ENSRNOG00000061923,AABR07036974.2
ENSRNOG00000036568,AABR07037073.1
ENSRNOG00000028611,AABR07037203.1
ENSRNOG00000061151,AABR07037203.2
ENSRNOG00000003158,AABR07037343.1
ENSRNOG00000047358,AABR07037343.2
ENSRNOG00000030999,AABR07037412.1
ENSRNOG00000061980,AABR07037412.2
ENSRNOG00000003342,AABR07037798.1
ENSRNOG00000047512,AABR07037798.2
ENSRNOG00000040445,AABR07037850.1
ENSRNOG00000032797,AABR07037878.1
ENSRNOG00000003588,AABR07037960.1
ENSRNOG00000047664,AABR07037960.2
ENSRNOG00000004319,AABR07038019.1
ENSRNOG00000048295,AABR07038019.2
ENSRNOG00000036563,AABR07038308.1
ENSRNOG00000038383,AABR07038349.1
ENSRNOG00000038369,AABR07038477.1
ENSRNOG00000026697,AABR07038837.1
ENSRNOG00000060545,AABR07038837.2
ENSRNOG00000028880,AABR07038913.1
ENSRNOG00000061242,AABR07038913.2
ENSRNOG00000029935,AABR07038981.1
ENSRNOG00000061607,AABR07038981.2
ENSRNOG00000032738,AABR07039075.1
ENSRNOG00000041435,AABR07039202.1
ENSRNOG00000027980,AABR07039245.1
ENSRNOG00000060945,AABR07039245.2
ENSRNOG00000002321,AABR07039541.1
ENSRNOG00000046703,AABR07039541.2
ENSRNOG00000002789,AABR07039648.1
ENSRNOG00000047045,AABR07039648.2
ENSRNOG00000037770,AABR07039936.1
ENSRNOG00000037736,AABR07040565.1
ENSRNOG00000003194,AABR07040622.1
ENSRNOG00000047382,AABR07040622.2
ENSRNOG00000037611,AABR07040792.1
ENSRNOG00000005402,AABR07040938.1
ENSRNOG00000049185,AABR07040938.2
ENSRNOG00000005430,AABR07040944.1
ENSRNOG00000049211,AABR07040944.2
ENSRNOG00000011100,AABR07040947.1
ENSRNOG00000052908,AABR07040947.2
ENSRNOG00000041256,AABR07041066.1
ENSRNOG00000000640,AABR07041078.1
ENSRNOG00000044078,AABR07041078.2
ENSRNOG00000018923,AABR07041089.1
ENSRNOG00000057367,AABR07041089.2
ENSRNOG00000006459,AABR07041140.1
ENSRNOG00000049947,AABR07041140.2
ENSRNOG00000016400,AABR07041179.1
ENSRNOG00000055868,AABR07041179.2
ENSRNOG00000030645,AABR07041247.1
ENSRNOG00000032390,AABR07041247.2
ENSRNOG00000061859,AABR07041247.2
ENSRNOG00000005665,AABR07041481.1
ENSRNOG00000049375,AABR07041481.2
ENSRNOG00000041249,AABR07041601.1
ENSRNOG00000038118,AABR07041604.1
